archetype,mode,reps,svg_build_s,load_median_s,load_iqr_s,raster_median_s,raster_iqr_s,pdf_median_s,pdf_iqr_s,raster_post_median_s,layout_s,style_s,js_heap_used_mb,dom_nodes,dom_patterns,dom_images,svg_bytes,pdf_bytes
F,OPACITY_GROUP_45,7,0.000114847,0.0040346,0.00146875,0.0785695,0.0072507,0.00812222,0.00168983,0,0,0,15.4066,25,0,0,2083,27940
F,OPACITY_ELEM_60,7,9.8422e-05,0.00342452,0.00046231,0.082275,0.010518,0.00904178,0.00193307,0,0,0,15.5759,25,0,0,2362,42088
F,OPACITY_FILL_60,7,9.189e-05,0.00327296,0.00031427,0.0828657,0.0125803,0.00759998,0.0007363,0,0,0,15.7436,25,0,0,2277,27611
F,OPACITY_STROKE_60,7,9.1389e-05,0.00338922,0.000611689,0.0792714,0.0113559,0.00794863,0.00101524,0,0,0,13.1031,25,0,0,2068,27541
F,OPACITY_TEXT_60,7,8.7122e-05,0.00357154,0.000476753,0.0727766,0.0095379,0.0079419,0.000772368,0,0,0,13.2698,25,0,0,2208,31760
F,TINT_75,7,8.016e-05,0.00360729,0.000500271,0.0760675,0.00283726,0.00824335,0.00157409,0,0,0,13.4337,25,0,0,2068,31973
F,TINT_55,7,8.7541e-05,0.00319623,0.000653157,0.0831614,0.0105709,0.00774448,0.0015902,0,0,0,10.8163,25,0,0,2068,27549
F,TINT_30,7,0.000121664,0.00326255,0.000668405,0.0786999,0.00503954,0.00766546,0.00104102,0,0,0,10.9807,25,0,0,2068,27546
F,TINT_FILL_55,7,7.68e-05,0.00353333,0.000429412,0.0788124,0.00566764,0.00757373,0.000926469,0,0,0,11.1482,25,0,0,2068,27549
F,TINT_FILL_30,7,0.0001253,0.00373437,0.000496581,0.0824609,0.00787823,0.00807264,0.00158011,0,0,0,8.00769,25,0,0,2068,27546
F,TINT_FILL_15,7,0.000108057,0.00318443,0.000479013,0.0740596,0.0107484,0.00861237,0.00126321,0,0,0,8.17206,25,0,0,2068,27539
F,GRAYSCALE,7,0.000132158,0.00374542,0.000533474,0.0744889,0.00595079,0.0078682,0.000408433,0,0,0,8.33774,25,0,0,2068,30013
F,BW_THRESHOLD,7,8.657e-05,0.00319192,0.000513239,0.0792302,0.00910038,0.00865656,0.000787118,0.231681,0,0,8.49883,25,0,0,2068,27541
F,BW_SEMANTIC,7,9.896e-05,0.00361103,0.000666404,0.0782302,0.00708628,0.00801983,0.00100978,0,0,0,4.97538,25,0,0,2209,32128
F,OUTLINE_ONLY,7,0.000113702,0.00382454,0.000851827,0.0818378,0.00466313,0.00864357,0.000798763,0,0,0,5.14309,23,0,0,2314,27635
F,OUTLINE_NAIVE,7,8.1227e-05,0.00325873,0.000876238,0.0885247,0.00368869,0.0077314,0.000578965,0,0,0,5.31105,23,0,0,2314,27635
F,BG_REMOVAL,7,0.000124608,0.00423418,0.000756437,0.0832288,0.00200351,0.00931681,0.00189919,0,0,0,1.90088,23,0,0,1984,27516
F,DECOR_REMOVAL,7,8.3068e-05,0.00382623,0.000211413,0.0771592,0.0057948,0.00788156,0.00112592,0,0,0,2.06065,25,0,0,2068,27541
F,HALFTONE_H,7,0.000105731,0.00557125,0.000891871,0.912465,0.0364371,2.12427,0.0756631,0,0,0,2.25455,42,8,0,3831,6870132
F,HALFTONE_M,7,0.000118227,0.00485836,0.000492303,0.76253,0.00931454,1.43503,0.0694212,0,0,0,1.97081,42,8,0,3831,7578387
