mode,dpi,colour,style,width_mm,colour_after,width_after_mm,nominal_tone,g0_continuity,g0_peak_tone_median,raster_fidelity,rendered_wcag_cr,nominal_wcag_cr,tone_per_mm,pc1_continuity,pc1_peak_tone_median,pc2_continuity,pc2_peak_tone_median,pc3_continuity,pc3_peak_tone_median
TINT_30,150,black,dashed,0.18,#bababa,0.18,0.270588,1,0.203737,0.752941,1.62237,1.94078,0.0578325,0.00470588,0.0791241,0,0.0592255,0,0.0583988
TINT_30,150,black,dashed,0.25,#bababa,0.25,0.270588,1,0.203737,0.752941,1.62237,1.94078,0.0689989,0.0282353,0.104616,0,0.0596682,0,0.0584435
TINT_30,150,black,dashed,0.35,#bababa,0.35,0.270588,1,0.270588,1,1.94078,1.94078,0.0916523,0.637647,0.160279,0.00470588,0.0634128,0,0.0595862
TINT_30,150,black,dashed,0.5,#bababa,0.5,0.270588,1,0.270588,1,1.94078,1.94078,0.137459,0.997647,0.214087,0.2,0.120281,0,0.0600011
TINT_30,150,black,dashed,0.75,#bababa,0.75,0.270588,1,0.270588,1,1.94078,1.94078,0.206611,1,0.231924,0.52,0.151527,0.00235294,0.0652515
TINT_30,150,guide_grey,solid,0.05,#e2e2e2,0.05,0.113725,0,0.0157631,0.138607,1.0348,1.29546,0.00533584,0,0.0588983,0,0.0593407,0,0.0593731
TINT_30,150,guide_grey,solid,0.1,#e2e2e2,0.1,0.113725,0,0.0437062,0.384313,1.09987,1.29546,0.0113279,0,0.0596067,0,0.0598063,0,0.0597838
TINT_30,150,guide_grey,solid,0.18,#e2e2e2,0.18,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0239241,0,0.060625,0,0.0586674,0,0.0605536
TINT_30,150,guide_grey,solid,0.25,#e2e2e2,0.25,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0285907,0,0.0591815,0,0.0595502,0,0.0594261
TINT_30,150,guide_grey,solid,0.35,#e2e2e2,0.35,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0383484,0,0.0597172,0,0.0597607,0,0.0586326
TINT_30,150,guide_grey,solid,0.5,#e2e2e2,0.5,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0585147,0,0.0603755,0,0.0595365,0,0.0600549
TINT_30,150,guide_grey,solid,0.75,#e2e2e2,0.75,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0870299,0,0.0613261,0,0.0593499,0,0.0601283
TINT_30,150,guide_grey,dashed,0.05,#e2e2e2,0.05,0.113725,0,0.0309112,0.271805,1.07131,1.29546,0.00589054,0,0.0603064,0,0.0588763,0,0.0596715
TINT_30,150,guide_grey,dashed,0.1,#e2e2e2,0.1,0.113725,0,0.0584238,0.513726,1.13961,1.29546,0.0112056,0,0.0607338,0,0.0595053,0,0.0609766
TINT_30,150,guide_grey,dashed,0.18,#e2e2e2,0.18,0.113725,0,0.0856286,0.752941,1.21409,1.29546,0.0191664,0,0.0594599,0,0.0590025,0,0.0604817
TINT_30,150,guide_grey,dashed,0.25,#e2e2e2,0.25,0.113725,0,0.0856286,0.752941,1.21409,1.29546,0.0289995,0,0.0602368,0,0.0601965,0,0.059771
TINT_30,150,guide_grey,dashed,0.35,#e2e2e2,0.35,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0384239,0,0.0585251,0,0.0586157,0,0.0596933
TINT_30,150,guide_grey,dashed,0.5,#e2e2e2,0.5,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0577725,0,0.0604419,0,0.0607744,0,0.0605882
TINT_30,150,guide_grey,dashed,0.75,#e2e2e2,0.75,0.113725,0,0.113725,0.999999,1.29546,1.29546,0.0822721,0,0.0615466,0,0.0601774,0,0.0588583
TINT_30,150,trace_grey,solid,0.05,#ededed,0.05,0.0705882,0,0.0120261,0.170369,1.02595,1.17073,0.00337233,0,0.059597,0,0.0590736,0,0.0582192
TINT_30,150,trace_grey,solid,0.1,#ededed,0.1,0.0705882,0,0.0238062,0.337255,1.05284,1.17073,0.00665615,0,0.0592964,0,0.0590727,0,0.0592754
TINT_30,150,trace_grey,solid,0.18,#ededed,0.18,0.0705882,0,0.0558094,0.790633,1.12949,1.17073,0.012117,0,0.0602672,0,0.0595202,0,0.0603814
TINT_30,150,trace_grey,solid,0.25,#ededed,0.25,0.0705882,0,0.0705883,1,1.17073,1.17073,0.0172862,0,0.0603801,0,0.0609196,0,0.0608604
TINT_30,150,trace_grey,solid,0.35,#ededed,0.35,0.0705882,0,0.0705883,1,1.17073,1.17073,0.02407,0,0.0596606,0,0.0597441,0,0.0590753
TINT_30,150,trace_grey,solid,0.5,#ededed,0.5,0.0705882,0,0.0705883,1,1.17073,1.17073,0.0359057,0,0.0593872,0,0.0602847,0,0.0598593
TINT_30,150,trace_grey,solid,0.75,#ededed,0.75,0.0705882,0,0.0705883,1,1.17073,1.17073,0.0504784,0,0.0587991,0,0.0587096,0,0.0588528
TINT_30,150,trace_grey,dashed,0.05,#ededed,0.05,0.0705882,0,0.0152557,0.216122,1.0348,1.17073,0.0025833,0,0.0586855,0,0.0607513,0,0.0600438
TINT_30,150,trace_grey,dashed,0.1,#ededed,0.1,0.0705882,0,0.0395848,0.560784,1.09023,1.17073,0.00735926,0,0.0588382,0,0.0599424,0,0.059357
TINT_30,150,trace_grey,dashed,0.18,#ededed,0.18,0.0705882,0,0.0561016,0.794772,1.12949,1.17073,0.0121665,0,0.0610458,0,0.057979,0,0.0606163
TINT_30,150,trace_grey,dashed,0.25,#ededed,0.25,0.0705882,0,0.0561016,0.794772,1.12949,1.17073,0.0189997,0,0.0604975,0,0.0582949,0,0.0593607
TINT_30,150,trace_grey,dashed,0.35,#ededed,0.35,0.0705882,0,0.0705883,1,1.17073,1.17073,0.0241194,0,0.0594475,0,0.0601787,0,0.0597726
TINT_30,150,trace_grey,dashed,0.5,#ededed,0.5,0.0705882,0,0.0705883,1,1.17073,1.17073,0.0334058,0,0.0595989,0,0.0609467,0,0.0612984
TINT_30,150,trace_grey,dashed,0.75,#ededed,0.75,0.0705882,0,0.0705883,1,1.17073,1.17073,0.0513586,0,0.0602019,0,0.0590791,0,0.0616632
TINT_30,300,black,solid,0.05,#bababa,0.05,0.270588,0,0.0818917,0.302643,1.20304,1.94078,0.013867,0,0.0677879,0,0.0679934,0,0.0679186
TINT_30,300,black,solid,0.1,#bababa,0.1,0.270588,1,0.270588,1,1.94078,1.94078,0.0285764,0,0.0680442,0,0.0688596,0,0.0686205
TINT_30,300,black,solid,0.18,#bababa,0.18,0.270588,1,0.270588,1,1.94078,1.94078,0.0514862,0.0248447,0.0997838,0,0.0676664,0,0.0676636
TINT_30,300,black,solid,0.25,#bababa,0.25,0.270588,1,0.270588,1,1.94078,1.94078,0.0686461,0.35799,0.141221,0,0.0683433,0,0.0678831
TINT_30,300,black,solid,0.35,#bababa,0.35,0.270588,1,0.270588,1,1.94078,1.94078,0.0975558,0.970638,0.190954,0.00112931,0.0758916,0,0.0678381
TINT_30,300,black,solid,0.5,#bababa,0.5,0.270588,1,0.270588,1,1.94078,1.94078,0.131709,1,0.224331,0.130999,0.119227,0.000564653,0.0683592
TINT_30,300,black,solid,0.75,#bababa,0.75,0.270588,1,0.270588,1,1.94078,1.94078,0.206188,1,0.245673,0.738566,0.16411,0,0.0743796
TINT_30,300,black,dashed,0.05,#bababa,0.05,0.270588,0,0.0904267,0.334186,1.22527,1.94078,0.0136651,0,0.0675224,0,0.0675962,0,0.0681113
TINT_30,300,black,dashed,0.1,#bababa,0.1,0.270588,1,0.270588,1,1.94078,1.94078,0.0285764,0,0.0678436,0,0.0684394,0,0.067139
TINT_30,300,black,dashed,0.18,#bababa,0.18,0.270588,1,0.270588,1,1.94078,1.94078,0.0458261,0.00470588,0.082583,0,0.0681938,0,0.0692413
TINT_30,300,black,dashed,0.25,#bababa,0.25,0.270588,1,0.270588,1,1.94078,1.94078,0.0687359,0.371765,0.142074,0,0.068868,0,0.0681258
